No.,Time,Source,Destination,Time2,Time1,Delay,Delay2,Delay1,Jitter,,,,
1,0,CyberTAN_78:f9:9f,Broadcast,0.716635,0,0.716635,0.409772,0.306863,0.102909,,,Total Delay  :,665.762056
2,0.716635,Fiberhom_a2:01:60,Broadcast,1.126407,0.716635,0.409772,0.266798,0.142974,0.123824,,,"Rata"" Delay :",0.016603787
3,1.126407,192.168.1.148,239.255.255.250,1.393205,1.126407,0.266798,0.040243,0.226555,-0.186312,,,,
4,1.393205,192.168.1.139,103.10.124.162,1.433448,1.393205,0.040243,0.042514,-0.002271,0.044785,,,Total Jitter   :,664.583803
5,1.433448,192.168.1.148,239.255.255.250,1.475962,1.433448,0.042514,0.264512,-0.221998,0.48651,,,"Rata"" Jitter   :",0.016574816
6,1.475962,103.10.124.162,192.168.1.139,1.740474,1.475962,0.264512,0.000277,0.264235,-0.263958,,,,
7,1.740474,Fiberhom_a2:01:60,Broadcast,1.740751,1.740474,0.000277,0.031266,-0.030989,0.062255,,,,
8,1.740751,192.168.1.148,239.255.255.250,1.772017,1.740751,0.031266,0.039927,-0.008661,0.048588,,,,
9,1.772017,103.10.124.162,192.168.1.139,1.811944,1.772017,0.039927,0.031029,0.008898,0.022131,,,,
10,1.811944,192.168.1.139,103.10.124.162,1.842973,1.811944,0.031029,0.00077,0.030259,-0.029489,,,,
11,1.842973,192.168.1.152,224.0.0.251,1.843743,1.842973,0.00077,0.066008,-0.065238,0.131246,,,,
12,1.843743,fe80::63:ff2a:30ae:de3e,ff02::fb,1.909751,1.843743,0.066008,0.000385,0.065623,-0.065238,,,,
13,1.909751,192.168.1.139,103.10.124.162,1.910136,1.909751,0.000385,0.00013,0.000255,-0.000125,,,,
14,1.910136,192.168.1.139,103.10.124.162,1.910266,1.910136,0.00013,0.01554,-0.01541,0.03095,,,,
15,1.910266,192.168.1.139,103.10.124.162,1.925806,1.910266,0.01554,0.150347,-0.134807,0.285154,,,,
16,1.925806,103.10.124.162,192.168.1.139,2.076153,1.925806,0.150347,0.170841,-0.020494,0.191335,,,,
17,2.076153,103.10.124.162,192.168.1.139,2.246994,2.076153,0.170841,0.005831,0.16501,-0.159179,,,,
18,2.246994,103.10.124.162,192.168.1.139,2.252825,2.246994,0.005831,0.043406,-0.037575,0.080981,,,,
19,2.252825,192.168.1.157,239.255.255.250,2.296231,2.252825,0.043406,0.019372,0.024034,-0.004662,,,,
20,2.296231,192.168.1.139,103.10.124.162,2.315603,2.296231,0.019372,0.043109,-0.023737,0.066846,,,,
21,2.315603,103.10.124.162,192.168.1.139,2.358712,2.315603,0.043109,0.030936,0.012173,0.018763,,,,
22,2.358712,192.168.1.139,103.10.124.162,2.389648,2.358712,0.030936,1.60E-05,0.03092,-0.030904,,,,
23,2.389648,Fiberhom_a2:01:60,LiteonTe_69:f5:1f,2.389664,2.389648,1.60E-05,0.032119,-0.032103,0.064222,,,,
24,2.389664,LiteonTe_69:f5:1f,Fiberhom_a2:01:60,2.421783,2.389664,0.032119,0,0.032119,-0.032119,,,,
25,2.421783,192.168.1.139,103.10.124.162,2.421783,2.421783,0,0,0,0,,,,
26,2.421783,192.168.1.139,103.10.124.162,2.421783,2.421783,0,0,0,0,,,,
27,2.421783,192.168.1.139,103.10.124.162,2.421783,2.421783,0,0.025169,-0.025169,0.050338,,,,
28,2.421783,192.168.1.139,103.10.124.162,2.446952,2.421783,0.025169,0.001677,0.023492,-0.021815,,,,
29,2.446952,103.10.124.162,192.168.1.139,2.448629,2.446952,0.001677,0.213519,-0.211842,0.425361,,,,
30,2.448629,103.10.124.162,192.168.1.139,2.662148,2.448629,0.213519,0.274215,-0.060696,0.334911,,,,
31,2.662148,Fiberhom_a2:01:60,Broadcast,2.936363,2.662148,0.274215,4.10E-05,0.274174,-0.274133,,,,
32,2.936363,117.18.237.29,192.168.1.139,2.936404,2.936363,4.10E-05,0.340149,-0.340108,0.680257,,,,
33,2.936404,192.168.1.139,117.18.237.29,3.276553,2.936404,0.340149,0.000544,0.339605,-0.339061,,,,
34,3.276553,CyberTAN_78:f9:9f,Broadcast,3.277097,3.276553,0.000544,0.000382,0.000162,0.00022,,,,
35,3.277097,192.168.1.157,239.255.255.250,3.277479,3.277097,0.000382,0.101881,-0.101499,0.20338,,,,
36,3.277479,192.168.1.148,224.0.0.251,3.37936,3.277479,0.101881,0.000889,0.100992,-0.100103,,,,
37,3.37936,192.168.1.6,224.0.0.251,3.380249,3.37936,0.000889,0.547066,-0.546177,1.093243,,,,
38,3.380249,192.168.1.6,224.0.0.251,3.927315,3.380249,0.547066,4.00E-05,0.547026,-0.546986,,,,
39,3.927315,216.98.50.146,192.168.1.139,3.927355,3.927315,4.00E-05,0.168243,-0.168203,0.336446,,,,
40,3.927355,192.168.1.139,216.98.50.146,4.095598,3.927355,0.168243,0.205635,-0.037392,0.243027,,,,
41,4.095598,CyberTAN_78:f9:9f,Broadcast,4.301233,4.095598,0.205635,0.51062,-0.304985,0.815605,,,,
42,4.301233,192.168.1.157,239.255.255.250,4.811853,4.301233,0.51062,0.209526,0.301094,-0.091568,,,,
43,4.811853,192.168.1.139,216.98.50.146,5.021379,4.811853,0.209526,0.152317,0.057209,0.095108,,,,
44,5.021379,CyberTAN_78:f9:9f,Broadcast,5.173696,5.021379,0.152317,0.155687,-0.00337,0.159057,,,,
45,5.173696,216.98.50.146,192.168.1.139,5.329383,5.173696,0.155687,0.000212,0.155475,-0.155263,,,,
46,5.329383,192.168.1.157,239.255.255.250,5.329595,5.329383,0.000212,1.018799,-1.018587,2.037386,,,,
47,5.329595,Fiberhom_a2:01:60,Broadcast,6.348394,5.329595,1.018799,1.562327,-0.543528,2.105855,,,,
48,6.348394,Fiberhom_a2:01:60,Broadcast,7.910721,6.348394,1.562327,0.000218,1.562109,-1.561891,,,,
49,7.910721,18.235.241.239,192.168.1.139,7.910939,7.910721,0.000218,2.90E-05,0.000189,-0.00016,,,,
50,7.910939,192.168.1.139,18.235.241.239,7.910968,7.910939,2.90E-05,1.80E-05,1.10E-05,7.00E-06,,,,
51,7.910968,192.168.1.139,18.235.241.239,7.910986,7.910968,1.80E-05,0.080601,-0.080583,0.161184,,,,
52,7.910986,192.168.1.139,18.235.241.239,7.991587,7.910986,0.080601,0.000365,0.080236,-0.079871,,,,
53,7.991587,192.168.1.152,224.0.0.251,7.991952,7.991587,0.000365,0.184995,-0.18463,0.369625,,,,
54,7.991952,fe80::63:ff2a:30ae:de3e,ff02::fb,8.176947,7.991952,0.184995,0,0.184995,-0.184995,,,,
55,8.176947,18.235.241.239,192.168.1.139,8.176947,8.176947,0,0,0,0,,,,
